date,MLC,USD
2021-01-02,38.12,39.49
2021-01-03,39.75,41.2
2021-01-04,40.12,40.83
2021-01-05,41.0,40.45
2021-01-06,40.86,40.61
2021-01-07,42.0,40.95
2021-01-08,40.33,41.18
2021-01-09,38.67,41.55
2021-01-10,43.25,41.71
2021-01-11,42.5,42.57
2021-01-12,41.33,41.41
2021-01-13,41.8,42.36
2021-01-14,42.45,42.67
2021-01-15,43.22,42.88
2021-01-16,43.58,43.75
2021-01-17,43.88,44.34
2021-01-18,44.87,44.88
2021-01-19,44.83,45.18
2021-01-20,45.0,45.03
2021-01-21,44.64,45.31
2021-01-22,44.45,45.28
2021-01-23,44.38,45.6
2021-01-24,45.4,45.63
2021-01-25,45.25,46.15
2021-01-26,46.2,45.96
2021-01-27,46.23,46.13
2021-01-28,45.86,46.33
2021-01-29,46.09,46.73
2021-01-30,46.05,46.66
2021-01-31,46.32,46.8
2021-02-01,46.55,47.04
2021-02-02,46.56,47.2
2021-02-03,46.91,46.7
2021-02-04,46.97,47.11
2021-02-05,46.9,46.84
2021-02-06,47.17,46.78
2021-02-07,47.05,46.75
2021-02-08,46.77,47.43
2021-02-09,46.12,47.2
2021-02-10,47.5,47.12
2021-02-11,47.06,47.04
2021-02-12,47.25,47.1
2021-02-13,47.38,47.11
2021-02-14,46.82,47.57
2021-02-15,47.55,47.59
2021-02-16,47.61,47.67
2021-02-17,47.63,47.6
2021-02-18,47.6,47.72
2021-02-19,47.56,47.89
2021-02-20,47.54,47.71
2021-02-21,47.8,47.91
2021-02-22,47.7,47.92
2021-02-23,47.69,47.81
2021-02-24,47.79,47.82
2021-02-25,47.5,47.86
2021-02-26,47.74,47.86
2021-02-27,47.88,47.87
2021-02-28,47.79,47.97
2021-03-01,47.73,47.93
2021-03-02,47.77,47.49
2021-03-03,47.5,47.48
2021-03-04,47.98,47.28
2021-03-05,47.38,47.96
2021-03-06,47.38,47.81
2021-03-07,47.85,46.92
2021-03-08,47.79,47.64
2021-03-09,47.97,47.89
2021-03-10,48.33,47.93
2021-03-11,48.05,48.26
2021-03-12,48.46,47.74
2021-03-13,46.9,47.53
2021-03-14,48.57,48.25
2021-03-15,48.56,48.32
2021-03-16,48.43,48.18
2021-03-17,48.54,48.16
2021-03-18,48.48,47.69
2021-03-19,48.69,48.5
2021-03-20,48.33,48.76
2021-03-21,48.88,48.54
2021-03-22,49.05,48.68
2021-03-23,48.92,48.86
2021-03-24,49.13,48.7
2021-03-25,48.87,49.03
2021-03-26,49.14,0.0
2021-03-27,48.77,48.7
2021-03-28,49.32,49.38
2021-03-29,49.35,49.2
2021-03-30,49.32,49.0
2021-03-31,49.56,49.24
2021-04-01,49.02,49.26
2021-04-02,49.81,48.68
2021-04-03,49.51,49.46
2021-04-04,49.8,49.51
2021-04-05,49.96,49.87
2021-04-06,49.96,49.73
2021-04-07,49.97,49.55
2021-04-08,50.19,49.39
2021-04-09,50.16,49.39
2021-04-10,50.42,50.03
2021-04-11,50.25,49.94
2021-04-12,50.38,50.06
2021-04-13,50.81,49.87
2021-04-14,50.85,49.97
2021-04-15,51.09,50.11
2021-04-16,51.09,50.0
2021-04-17,51.12,50.58
2021-04-18,51.66,50.57
2021-04-19,51.59,51.27
2021-04-20,51.64,50.97
2021-04-21,51.49,51.5
2021-04-22,51.98,0.0
2021-04-23,51.82,0.0
2021-04-24,52.42,51.94
2021-04-25,51.75,51.24
2021-04-26,52.6,51.84
2021-04-27,52.05,52.32
2021-04-28,51.42,52.6
2021-04-29,50.8,52.3
2021-04-30,52.39,52.39
2021-05-01,52.3,52.67
2021-05-02,52.93,53.03
2021-05-03,53.0,53.68
2021-05-04,52.25,53.62
2021-05-05,52.42,53.94
2021-05-06,54.14,54.0
2021-05-07,52.8,54.02
2021-05-08,54.5,52.6
2021-05-09,54.75,54.33
2021-05-10,54.75,54.31
2021-05-11,53.67,53.74
2021-05-12,54.25,54.99
2021-05-13,54.64,54.83
2021-05-14,54.5,55.22
2021-05-15,54.33,56.26
2021-05-16,55.67,55.56
2021-05-17,57.67,56.08
2021-05-18,57.56,55.41
2021-05-19,55.4,57.53
2021-05-20,57.67,58.49
2021-05-21,60.74,58.59
2021-05-22,59.1,60.51
2021-05-23,60.27,60.9
2021-05-24,62.53,62.58
2021-05-25,63.64,62.25
2021-05-26,63.63,63.27
2021-05-27,63.5,63.48
2021-05-28,63.53,63.25
2021-05-29,64.61,63.29
2021-05-30,63.33,64.71
2021-05-31,64.74,65.02
2021-06-01,64.92,64.67
2021-06-02,66.0,65.86
2021-06-03,65.5,66.64
2021-06-04,66.2,65.5
2021-06-05,66.2,64.84
2021-06-06,67.22,66.31
2021-06-07,68.33,68.0
2021-06-08,69.22,68.93
2021-06-09,69.0,68.45
2021-06-10,65.92,63.48
2021-06-11,62.31,57.61
2021-06-12,61.48,56.14
2021-06-13,60.21,55.89
2021-06-14,59.88,56.38
2021-06-15,60.57,56.84
2021-06-16,61.35,65.0
2021-06-17,61.19,56.94
2021-06-18,61.73,57.38
2021-06-19,62.51,49.22
2021-06-20,64.65,52.85
2021-06-21,65.28,56.61
2021-06-22,65.43,58.59
2021-06-23,65.52,56.02
2021-06-24,65.76,75.0
2021-06-25,65.96,56.7
2021-06-26,65.91,53.45
2021-06-27,66.19,58.04
2021-06-28,65.98,55.58
2021-06-29,65.82,60.09
2021-06-30,65.87,59.84
2021-07-01,65.88,59.69
2021-07-02,65.46,59.55
2021-07-03,65.45,60.23
2021-07-04,65.33,60.42
2021-07-05,65.25,59.88
2021-07-06,65.24,60.35
2021-07-07,65.31,60.13
2021-07-08,65.17,60.22
2021-07-09,64.9,60.51
2021-07-10,64.62,60.02
2021-07-11,64.59,59.62
2021-07-12,64.67,61.15
2021-07-13,64.73,58.95
2021-07-14,64.59,59.92
2021-07-15,64.44,59.74
2021-07-16,64.2,59.32
2021-07-17,64.68,60.04
2021-07-18,64.4,59.2
2021-07-19,64.7,59.33
2021-07-20,64.83,59.2
2021-07-21,64.93,59.3
2021-07-22,64.91,58.93
2021-07-23,64.97,59.37
2021-07-24,65.25,59.61
2021-07-25,65.07,59.84
2021-07-26,65.26,59.23
2021-07-27,65.49,59.39
2021-07-28,65.43,59.61
2021-07-29,65.82,59.79
2021-07-30,65.87,59.39
2021-07-31,65.67,59.75
2021-08-01,65.42,59.38
2021-08-02,65.76,59.73
2021-08-03,65.95,59.76
2021-08-04,65.95,59.86
2021-08-05,66.64,60.2
2021-08-06,66.16,59.67
2021-08-07,66.43,59.78
2021-08-08,66.48,60.43
2021-08-09,66.47,60.11
